B19013_001E,B17001_002E,B17001_001E,B23025_005E,B23025_003E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B15003_001E,B25003_002E,B25003_001E,NAME,state,county
68315,6630,58291,752,27163,6726,4014,702,437,40188,16832,22308,"Autauga County, Alabama",01,001
71039,23445,229539,3825,111079,33474,15077,3483,2351,167022,70708,90802,"Baldwin County, Alabama",01,003
39712,5280,21851,516,8968,1167,640,188,105,17675,5858,9016,"Barbour County, Alabama",01,005
50669,4297,20836,786,9028,1047,507,109,76,15925,5465,7216,"Bibb County, Alabama",01,007
57440,8277,58399,1578,26434,3840,1751,270,156,40817,17144,21626,"Blount County, Alabama",01,009
36136,2687,9616,144,3888,492,93,53,33,7156,2231,3450,"Bullock County, Alabama",01,011
44429,3937,18652,548,8043,1029,542,139,21,13266,5047,7131,"Butler County, Alabama",01,013
54339,20267,112350,3692,53147,9098,4121,888,1011,78931,31694,44693,"Calhoun County, Alabama",01,015
48805,6080,34008,559,15631,2273,737,81,55,24706,9486,13143,"Chambers County, Alabama",01,017
46621,3516,24658,425,10713,1530,832,240,101,18523,7972,9997,"Cherokee County, Alabama",01,019
62471,6422,44441,1056,19921,2504,1551,115,107,30609,12700,16931,"Chilton County, Alabama",01,021
43299,2388,12475,249,4781,873,283,15,10,9052,4286,5228,"Choctaw County, Alabama",01,023
47549,5073,22687,1116,8957,1346,705,113,41,16015,5916,8188,"Clarke County, Alabama",01,025
48074,2440,13887,315,5480,926,279,78,0,10053,4297,5485,"Clay County, Alabama",01,027
51553,1931,14978,152,5844,1172,476,72,33,10630,4496,5761,"Cleburne County, Alabama",01,029
62199,8592,52713,1095,22899,4786,2424,362,327,36556,14145,20363,"Coffee County, Alabama",01,031
56149,8998,56667,903,26492,4578,1821,559,410,40835,16520,23266,"Colbert County, Alabama",01,033
39888,2122,11514,171,3928,642,316,40,118,8382,3326,4453,"Conecuh County, Alabama",01,035
52279,1102,9969,178,4046,578,195,61,22,8049,3249,3999,"Coosa County, Alabama",01,037
48772,6921,36847,877,15967,2585,1280,313,135,26447,10642,14194,"Covington County, Alabama",01,039
48557,1916,12895,332,5464,1092,405,61,15,9148,3609,4839,"Crenshaw County, Alabama",01,041
58119,11364,87201,1789,41229,7463,3105,491,197,61520,25640,33649,"Cullman County, Alabama",01,043
52813,8469,48342,1527,19642,4360,1654,279,162,33687,11669,19400,"Dale County, Alabama",01,045
37180,10230,37774,1445,15804,2633,1239,92,114,25984,9060,14753,"Dallas County, Alabama",01,047
47920,14251,70473,1258,32085,3996,2248,435,167,48385,18974,25690,"DeKalb County, Alabama",01,049
73258,7986,83185,1700,40950,9637,3846,670,596,61046,24812,32184,"Elmore County, Alabama",01,051
41153,7449,34154,1313,14277,2168,832,139,58,25461,8744,13022,"Escambia County, Alabama",01,053
52177,16146,101767,2847,47355,7840,3418,1140,487,72715,28454,38791,"Etowah County, Alabama",01,055
45650,3543,15973,672,6968,943,284,210,49,11428,4659,6143,"Fayette County, Alabama",01,057
47359,5246,31558,536,14005,2204,777,137,48,21351,8231,11239,"Franklin County, Alabama",01,059
47608,5480,26306,437,11327,1842,743,21,35,18982,7870,10391,"Geneva County, Alabama",01,061
32796,2504,7612,111,2466,579,242,75,15,5449,2112,2872,"Greene County, Alabama",01,063
35851,3613,14448,450,5883,1079,411,19,125,9980,4187,5403,"Hale County, Alabama",01,065
58395,2608,16807,412,7733,1758,759,71,45,12561,5454,6686,"Henry County, Alabama",01,067
55064,18878,105841,2403,48111,10616,4321,1154,528,73993,27196,41543,"Houston County, Alabama",01,069
46748,9680,52008,1312,21717,3874,1843,228,178,37823,15733,20670,"Jackson County, Alabama",01,071
63595,103894,654506,17733,328926,96805,41229,16093,8545,457310,170356,265794,"Jefferson County, Alabama",01,073
49565,2107,13736,284,5665,606,335,40,32,9894,3858,5168,"Lamar County, Alabama",01,075
56081,12188,91894,1632,45106,10372,4629,808,865,64564,25815,38237,"Lauderdale County, Alabama",01,077
54786,5182,32725,423,14259,2364,1205,82,54,23478,10191,12829,"Lawrence County, Alabama",01,079
59288,31003,167593,3196,84605,23707,13363,2439,3499,107084,42517,65166,"Lee County, Alabama",01,081
80146,11287,100831,2078,50168,13776,6347,793,661,73067,29968,38572,"Limestone County, Alabama",01,083
33125,2552,9997,302,4029,739,316,53,40,7035,3100,4001,"Lowndes County, Alabama",01,085
41206,4127,16499,1010,8082,1275,786,298,83,11880,4489,7131,"Macon County, Alabama",01,087
78058,40440,378398,8515,201437,71617,38510,4626,5763,267305,108545,159569,"Madison County, Alabama",01,089
42975,4063,18939,220,7807,1654,1082,83,35,12997,5038,7379,"Marengo County, Alabama",01,091
49743,4707,28621,800,12363,1476,789,66,128,20785,8031,11018,"Marion County, Alabama",01,093
58272,15992,96335,1641,43030,9437,3371,669,446,64995,27083,35930,"Marshall County, Alabama",01,095
55352,71353,406199,11043,187332,43806,17851,3791,2303,279868,101334,159605,"Mobile County, Alabama",01,097
39965,4472,19562,862,7082,1072,647,91,42,13707,5285,7298,"Monroe County, Alabama",01,099
56707,42877,219231,7127,105546,29456,15534,3659,2353,151442,51349,89721,"Montgomery County, Alabama",01,101
61588,16579,120811,2407,57499,13494,4990,1074,682,84874,34922,48004,"Morgan County, Alabama",01,103
32332,2478,7547,427,2728,537,192,20,60,5314,2157,3075,"Perry County, Alabama",01,105
45339,3864,17301,388,7333,1229,543,179,21,13592,5253,7083,"Pickens County, Alabama",01,107
42616,7242,30639,717,14500,3024,1692,278,328,19205,7561,11996,"Pike County, Alabama",01,109
49879,4277,21539,289,8902,1892,859,105,80,15614,6917,8729,"Randolph County, Alabama",01,111
47420,12816,58181,1574,24169,4088,1807,267,362,39868,14351,23462,"Russell County, Alabama",01,113
73218,9786,89634,1873,43687,8608,3220,406,237,64523,27658,33838,"St. Clair County, Alabama",01,115
90618,15080,220029,3662,117204,45813,17640,3959,2656,153645,67810,83776,"Shelby County, Alabama",01,117
31726,3285,10815,382,4681,901,544,59,96,7354,3324,4798,"Sumter County, Alabama",01,119
52457,14436,77226,2934,35027,5623,2966,474,468,57406,23275,32359,"Talladega County, Alabama",01,121
53282,6826,40523,1814,17414,3380,1466,334,185,29557,12409,16438,"Tallapoosa County, Alabama",01,123
61645,36412,218123,6434,116428,25838,11822,1978,4194,141959,52792,84743,"Tuscaloosa County, Alabama",01,125
52987,10437,63595,1550,27314,4268,1932,485,238,45281,19152,24718,"Walker County, Alabama",01,127
51184,2415,15282,379,5977,707,591,104,91,10500,4868,5506,"Washington County, Alabama",01,129
38208,2735,10219,401,3746,554,232,35,0,7069,2844,3579,"Wilcox County, Alabama",01,131
49494,4217,23175,452,10225,1384,778,123,65,16998,7122,9103,"Winston County, Alabama",01,133
79961,429,3395,106,2411,339,106,7,1,2675,529,899,"Aleutians East Borough, Alaska",02,013
100662,478,4987,110,3669,508,73,11,4,3861,268,969,"Aleutians West Census Area, Alaska",02,016
95731,27415,284386,7747,150082,44340,18753,5322,2859,192454,68356,107134,"Anchorage Municipality, Alaska",02,020
64094,4586,18158,1265,7827,532,379,67,2,10109,2693,4565,"Bethel Census Area, Alaska",02,050
94167,66,837,12,437,139,24,2,2,636,144,284,"Bristol Bay Borough, Alaska",02,060
83068,339,6871,332,3770,1001,482,21,47,4929,1725,2755,"Chugach Census Area, Alaska",02,063
70606,289,2570,78,1202,341,120,38,4,1791,750,1090,"Copper River Census Area, Alaska",02,066
87292,150,2052,26,1370,229,176,16,0,1674,456,525,"Denali Borough, Alaska",02,068
69412,765,4814,247,2182,329,154,40,71,2902,841,1384,"Dillingham Census Area, Alaska",02,070
81655,6356,92321,2458,44536,12039,5358,1111,1704,61350,21494,35824,"Fairbanks North Star Borough, Alaska",02,090
68276,121,2071,36,842,238,220,20,0,1420,548,786,"Haines Borough, Alaska",02,100
62344,269,2329,191,1366,375,113,11,7,1838,646,867,"Hoonah-Angoon Census Area, Alaska",02,105
95711,2176,31517,762,17107,5922,2241,735,450,22947,8365,13017,"Juneau City and Borough, Alaska",02,110
76272,7265,57908,1971,27198,7313,3302,717,315,41645,17808,23201,"Kenai Peninsula Borough, Alaska",02,122
82763,1329,13735,300,7266,1908,671,145,88,9869,3656,5568,"Ketchikan Gateway Borough, Alaska",02,130
